Brand,Name,Price-was,Current-Price,Discount(%),RAM(GB),Storage(GB/TB),Refurbished(0/1),URL
DELL,Dell 15.6" UHD 4K Convertible 2-in-1 Touchscreen Home and Business Laptop (Intel 8th Gen i7-8550U Quad-Core  32GB RAM  512GB PCIe SSD  15.6" UHD 3840 x 2160 Touch  GeForce MX130  WiFi  Win 10 Home),143469,113742,21,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000A-03SJ9
DELL,Dell 15.6" UHD 4K Convertible 2-in-1 Touchscreen Home and Business Laptop (Intel 8th Gen i7-8550U Quad-Core  32GB RAM  512GB Sata SSD  15.6" UHD 3840 x 2160 Touch  GeForce MX130  WiFi  Win 10 Pro),156919,124088,21,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000A-03SJ1
HP,HP ENVY x360 15t Convertible 2-in-1 Laptop (Intel i7-8550U Quad-Core  16GB RAM  1TB HDD + 512GB PCIe SSD  15.6" 4K UHD (3840x2160) Touchscreen  Win 10 Home) Two Year Warranty and Accidential Damage,140103,111179,21,6,512,0,https://www.newegg.com/global/in-en/p/1TS-000D-035P2
SAMSUNG,Samsung 11.6" High Performance Chromebook (Intel Celeron N3060  4GB RAM  32GB eMMC Storage + 64GB MicroSD Card  11.6" HD (1366 x 768) Display  Wireless-AC  Bluetooth  Webcam  Chrome OS),19985,18703,6,2,64,0,https://www.newegg.com/global/in-en/p/1TS-0002-00119
HP,HP Envy 17t UHD Laptop (Intel i7-8550U Quad-Core  16GB RAM  4TB Sata SSD  17.3 4K UHD (3840 x 2160)  GeForce MX150 4GB  Win 10 Pro) Two Year Warranty and Accidential Damage,239531,187662,22,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000D-03591
HP,HP ENVY x360 15t Convertible 2-in-1 Laptop (Intel i7-8550U Quad-Core  16GB RAM  4TB Sata SSD  15.6" 4K UHD (3840x2160) Touchscreen  Win 10 Pro) Two Year Warranty and Accidential Damage,216934,170280,22,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000D-035N6
HP,HP Spectre x360 13t Convertible 2-in-1 Laptop in Dark Ash Silver (Intel 8th Gen i7-8550U  16GB RAM  2TB Sata SSD  13.3" FHD 1920x1080 Touch  Win 10 Home) Two Year Warranty and Accidential Damage,180778,142467,21,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000D-03514
DELL,Dell 15.6" UHD 4K Convertible 2-in-1 Touchscreen Home and Business Laptop (Intel 8th Gen i7-8550U Quad-Core  16GB RAM  512GB PCIe SSD  15.6" UHD 3840 x 2160 Touch  GeForce MX130  WiFi  Win 10 Home),126544,100749,20,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000A-03SJ8
HP,HP ZBook 15v G5 Premium Home and Business 15.6 Touchsreen Mobile Workstation Laptop (Core i7-8750H  16GB RAM  2TB HDD + 1TB PCIe SSD  15.6" FHD 1920x1080  NVIDIA Quadro P600  Fingerprint  Win10 Pro),161402,127536,21,6,1,0,https://www.newegg.com/global/in-en/p/1TS-000D-030Y9
HP,HP ENVY x360 15t Convertible 2-in-1 Laptop (Intel i7-8550U Quad-Core  16GB RAM  2TB HDD + 16GB Intel Optane  15.6" 4K UHD (3840x2160) Touchscreen  Win 10 Pro) Two Year Warranty and Accidential Damage,144622,114655,21,6,16,0,https://www.newegg.com/global/in-en/p/1TS-000D-035K8
HP,HP ENVY x360 15t Convertible 2-in-1 Laptop (Intel i7-8550U Quad-Core  32GB RAM  4TB Sata SSD  15.6" 4K UHD (3840x2160) Touchscreen  Win 10 Pro) Two Year Warranty and Accidential Damage,235012,184186,22,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000D-035N7
HP,HP Envy 17t UHD Laptop (Intel i7-8550U Quad-Core  32GB RAM  4TB Sata SSD  17.3 4K UHD (3840 x 2160)  GeForce MX150 4GB  Win 10 Pro) Two Year Warranty and Accidential Damage,257609,201568,22,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000D-03592
DELL,Dell Inspiron 15 High Performane Home and Business Laptop (Intel Pentium N5000 Processor  4GB RAM  2TB HDD  15.6 HD (1366 x 768) Widescreen LED  WiFi  Bluetooth  Win 10 Pro),49713,38172,23,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000A-03PR1
HP,HP Envy 17t UHD Laptop (Intel i7-8550U Quad-Core  32GB RAM  2TB Sata SSD  17.3 4K UHD (3840 x 2160)  GeForce MX150 4GB  Win 10 Home) Two Year Warranty and Accidential Damage,188303,148229,21,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000D-03574
Lenovo,Lenovo N23 11.6 inch Convertible 2-in-1 Home and Business Touchscreen Laptop (Intel Celeron N3060 Processor  4GB RAM  32GB eMMC SSD  11.6" HD Touch (1366x768)  Intel HD 400  Win 10 Pro),22417,17176,23,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000E-0C218
HP,HP ENVY x360 15t Convertible 2-in-1 Laptop (Intel i7-8550U Quad-Core  32GB RAM  1TB HDD + 16GB Intel Optane  15.6" 4K UHD (3840x2160) Touchscreen  Win 10 Home) Two Year Warranty and Accidential Damage,140103,111179,21,2,16,0,https://www.newegg.com/global/in-en/p/1TS-000D-035H2
HP,HP Envy 17t UHD Laptop (Intel i7-8550U Quad-Core  32GB RAM  4TB Sata SSD  17.3 4K UHD (3840 x 2160)  GeForce MX150 4GB  Win 10 Home) Two Year Warranty and Accidential Damage,244051,191139,22,NaN,NaN,0,https://www.newegg.com/global/in-en/p/1TS-000D-03578
