Brand,Name,Price-was,Current-Price,Discount(₹),Discount(%),Rating(Out of 5),Number-of-ratings,RAM(GB),Storage(GB/TB),Refurbished(0/1),URL
Apple,Apple MacBook Air Core i5 8th Gen - (8 GB/128 GB SSD/Mac OS Mojave) MREA2HN/A,NaN,NaN,0,0,NaN,0,8,128,0,https://www.flipkart.com//apple-macbook-air-core-i5-8th-gen-8-gb-128-gb-ssd-mac-os-mojave-mrea2hn-a/p/itmfb9vwhg4jnfgx?pid=COMFB9VWRQ56HXA7&srno=b_11_251&otracker=browse&lid=LSTCOMFB9VWRQ56HXA7QJWZOV&fm=organic&iid=cecfc0b6-cf43-4221-a64d-5db6b1cbad39.COMFB9VWRQ56HXA7.SEARCH
Lenovo,Lenovo Ideapad 320 APU Quad Core A6 - (4 GB/1 TB HDD/Windows 10 Home) 80XV00T8IH Laptop,NaN,NaN,0,0,NaN,0,4,1,0,https://www.flipkart.com//lenovo-ideapad-320-apu-quad-core-a6-4-gb-1-tb-hdd-windows-10-home-80xv00t8ih-laptop/p/itmf66nquyrbwznc?pid=COMF66J8UMAMGZK5&srno=b_11_252&otracker=browse&lid=LSTCOMF66J8UMAMGZK5IEZBLG&fm=organic&iid=f4f88215-daed-442f-8d21-9e7459ab72bc.COMF66J8UMAMGZK5.SEARCH
HP,HP Omen Core i5 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/6 GB Graphics) 15-ce073TX Gaming L...,NaN,NaN,0,0,NaN,0,8,1,0,https://www.flipkart.com//hp-omen-core-i5-7th-gen-8-gb-1-tb-hdd-128-gb-ssd-windows-10-home-6-graphics-15-ce073tx-gaming-laptop/p/itmf3s3fcqfg5tqv?pid=COMEX3U79BHAFW8Q&srno=b_11_253&otracker=browse&lid=LSTCOMEX3U79BHAFW8QLC1ZNR&fm=organic&iid=60404eaf-8aa0-4f29-9240-018cdb5b7d8d.COMEX3U79BHAFW8Q.SEARCH
HP,HP Pavilion 15 Core i5 8th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) 15-BC407TX G...,77,733,62,990,NaN,18,4.5,104,8,1,0,https://www.flipkart.com//hp-pavilion-15-core-i5-8th-gen-8-gb-1-tb-hdd-128-gb-ssd-windows-10-home-4-graphics-15-bc407tx-gaming-laptop/p/itmf78kxpgghrw9g?pid=COMF78KXJJTVYDSK&srno=b_11_254&otracker=browse&lid=LSTCOMF78KXJJTVYDSKJUWLI6&fm=organic&iid=en_u1H12KtOpclpRLxUIxatHnw1Vk65hR4kjoyjkdHBGlWueMqxjZKBDfpitH7%2FxQ%2BxSilJL%2B9mthonqCAynWq1Gw%3D%3D
HP,HP Pavilion x360 Core i7 7th Gen - (8 GB/1 TB HDD/8 GB SSD/Windows 10 Home/4 GB Graphics) 14-ba078tx 2...,NaN,NaN,0,0,NaN,0,8,1,0,https://www.flipkart.com//hp-pavilion-x360-core-i7-7th-gen-8-gb-1-tb-hdd-8-gb-ssd-windows-10-home-4-graphics-14-ba078tx-2-1-laptop/p/itmf3s3fnmmw4xc5?pid=COMEWZAKFFU3XNZY&srno=b_11_255&otracker=browse&lid=LSTCOMEWZAKFFU3XNZYLCYEDD&fm=organic&iid=e1ab872e-a1f6-4430-9514-bc591120df94.COMEWZAKFFU3XNZY.SEARCH
Lenovo,Lenovo Ideapad 110 APU Quad Core A6 6th Gen - (4 GB/500 GB HDD/Windows 10 Home) IP110 15ACL Laptop,NaN,NaN,0,0,NaN,0,4,500,0,https://www.flipkart.com//lenovo-ideapad-110-apu-quad-core-a6-6th-gen-4-gb-500-gb-hdd-windows-10-home-ip110-15acl-laptop/p/itmf3s3fthu63e27?pid=COMEHDYGJFRJM3SU&srno=b_11_256&otracker=browse&lid=LSTCOMEHDYGJFRJM3SUS0END0&fm=organic&iid=92904fa0-e183-453e-bbc1-271c434075e8.COMEHDYGJFRJM3SU.SEARCH
Acer,Acer Predator Helios 300 Core i5 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) G3...,NaN,NaN,0,0,NaN,0,8,1,0,https://www.flipkart.com//acer-predator-helios-300-core-i5-7th-gen-8-gb-1-tb-hdd-128-gb-ssd-windows-10-home-4-graphics-g3-572-gaming-laptop/p/itmf3s3fgfy36h67?pid=COMEWGGDGQDDSGPD&srno=b_11_257&otracker=browse&lid=LSTCOMEWGGDGQDDSGPDTEZG5J&fm=organic&iid=3d347410-e9b1-4576-9c3c-c7fff89f1421.COMEWGGDGQDDSGPD.SEARCH
Dell,Dell Inspiron 5000 Core i5 7th Gen - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 5567 Laptop,NaN,NaN,0,0,NaN,0,4,1,0,https://www.flipkart.com//dell-inspiron-5000-core-i5-7th-gen-4-gb-1-tb-hdd-windows-10-home-2-gb-graphics-5567-laptop/p/itmf3s3fthgj6ffh?pid=COMEMGG8BYZGWA4E&srno=b_11_258&otracker=browse&lid=LSTCOMEMGG8BYZGWA4ELYOLLK&fm=organic&iid=1ce2aaae-7bf2-4f4b-8a4a-2c9cbb105401.COMEMGG8BYZGWA4E.SEARCH
Asus,Asus ROG Core i7 7th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics) GL502VM-FY230T Gam...,NaN,NaN,0,0,NaN,0,8,1,0,https://www.flipkart.com//asus-rog-core-i7-7th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-6-graphics-gl502vm-fy230t-gaming-laptop/p/itmf3s32q8jjbtse?pid=COMES3WCCQGH4FCV&srno=b_11_259&otracker=browse&lid=LSTCOMES3WCCQGH4FCVCU9WLF&fm=organic&iid=8cb61057-67d0-4c4e-8de7-a611d91fd958.COMES3WCCQGH4FCV.SEARCH
HP,HP Pavilion Core i7 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics) 15-dk0050TX Gam...,96,73,92,990,NaN,13,NaN,0,8,1,0,https://www.flipkart.com//hp-pavilion-core-i7-9th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-15-dk0050tx-gaming-laptop/p/itmfhbwsxm4qvnxb?pid=COMFHBWSJ9DJ7YPT&srno=b_11_260&otracker=browse&lid=LSTCOMFHBWSJ9DJ7YPTYO6CNU&fm=organic&iid=en_u1H12KtOpclpRLxUIxatHnw1Vk65hR4kjoyjkdHBGlWLp970Iy8xjk4%2B9A%2BZYda1No4fk77INlpch0bszYVWNA%3D%3D
HP,HP 14 Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14-bf120TU Laptop,71,354,59,990,NaN,15,NaN,0,8,256,0,https://www.flipkart.com//hp-14-core-i5-8th-gen-8-gb-256-gb-ssd-windows-10-home-14-bf120tu-laptop/p/itmf67wzrfwvz8w6?pid=COMF67WZZRADQXYH&srno=b_11_261&otracker=browse&lid=LSTCOMF67WZZRADQXYHLDCBW3&fm=organic&iid=e55eaa30-a905-4de0-a568-4ca28dc2065b.COMF67WZZRADQXYH.SEARCH
Dell,Dell Inspiron 15 3000 Series Core i7 8th Gen - (8 GB/2 TB HDD/Windows 10 Home/2 GB Graphics) 3576 Lapt...,NaN,NaN,0,0,NaN,0,8,2,0,https://www.flipkart.com//dell-inspiron-15-3000-series-core-i7-8th-gen-8-gb-2-tb-hdd-windows-10-home-2-gb-graphics-3576-laptop/p/itmf8qxcrkyvqqtj?pid=COMF8QXCGAYHZX7H&srno=b_11_262&otracker=browse&lid=LSTCOMF8QXCGAYHZX7HSOWT45&fm=organic&iid=0d18b4c2-7c81-480d-a56b-3eeeae913e59.COMF8QXCGAYHZX7H.SEARCH
Dell,Dell Inspiron 15 3000 Series Core i5 8th Gen - (4 GB/1 TB HDD/Windows 10 Home) 3576 Laptop,NaN,NaN,0,0,NaN,0,4,1,0,https://www.flipkart.com//dell-inspiron-15-3000-series-core-i5-8th-gen-4-gb-1-tb-hdd-windows-10-home-3576-laptop/p/itmf7uzgmnwgwchu?pid=COMF7UZGHZZKHPTF&srno=b_11_263&otracker=browse&lid=LSTCOMF7UZGHZZKHPTFKQEDAI&fm=organic&iid=0b13f78e-be33-4d2d-925b-64a1c7044702.COMF7UZGHZZKHPTF.SEARCH
Lenovo,Lenovo Core i5 8th Gen - (8 GB/1 TB HDD/DOS) L340-15IWL Laptop,62,190,41,990,NaN,32,NaN,0,8,1,0,https://www.flipkart.com//lenovo-core-i5-8th-gen-8-gb-1-tb-hdd-dos-l340-15iwl-laptop/p/itmfhsg9gr9yeqx2?pid=COMFHSG9NJAFC9PH&srno=b_11_264&otracker=browse&lid=LSTCOMFHSG9NJAFC9PHGP3XIK&fm=organic&iid=en_u1H12KtOpclpRLxUIxatHnw1Vk65hR4kjoyjkdHBGlVFOAbuV%2Bx7Ff6cZvwQKUsy3H2Uyv6UeXC7mjSk2pfGGQ%3D%3D
